the_geom,name,OBJECTID,FOLIO,ID,ZIPCODE,PHONE,CONTACT,TOTACRE,POINT_X,POINT_Y,CLASS,TYPE,MNGTAGCY,MUNICIPAL_,PROPNUM,PARKURL,AMPHITHEAT,AUDITORIUM,ARCHERY,BASEBALL,BASKETBALL,BEACH,BMXTRACK,BOATRAMP,CAMPGROUND,RVCAMPGROU,DOGPARK,EQUESTRIAN,FOOTBALL,FRISBEEGOL,GOLF,GOLFDRIVIN,GUNRANGE,GYMNASIUM,MARINA,MOUNTAINBI,NATURECENT,NATURETRAI,RAQUETBALL,REC_CENTER,ROLLERHOCK,SHELTER,SKATING,SOCCER,STADIUM,SWIMMING,TENNIS,TOTLOT,TRACK400,TRAIL,VOLLEYBALL,WETPLAYGRO,WIFI,ZOO,GlobalID,created_user,created_date,last_edited_user,last_edited_date,FACILITYPLAN,ART,BIKETRAIL,CANOE_LAUNCH,FITNESSZONE,PLAYGROUND,RESTROOM,Location 1,ADDRESS,CITY,lat,lon,park_size
POINT (-80.43287274847134 25.695914661584006),Kendall Green Park,81,3049330020030,91,33193,NA,NA,26.62,842920.000186,495569.99972,Neighborhood Park,Local,MiamiDadePark,County,493301,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{1DAB1E17-2E54-457A-8E85-B4F1EBF0AFBA},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kendall Green Park.pdf,No,No,No,No,No,No,"(25.69591, -80.43287)",14975 SW 80TH ST,MIAMI,25.69591,-80.43287,Very Large Park
POINT (-80.43457274995941 25.752014675193745),Tree Island Park & Preserve,82,3049090000010,92,33185,305-222-2194,NA,120,842270.99984,515956.999952,Community Park,Local,MiamiDadePark,County,490901,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{8A91C871-A4FB-48AD-8DD3-6C54695FFB67},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:48 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Tree Island Park & Preserve.pdf,No,No,No,No,No,No,"(25.75201, -80.43457)",14800 SW 10TH ST,MIAMI,25.75201,-80.43457,Very Large Park
POINT (-80.17982267880913 25.85772470741587),Military Trail Park,85,3032060000070,95,33138,305-633-4066,NA,1.66,925885.00059,554821.99998,Neighborhood Park,Local,MiamiDadePark,County,320601,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{1274AD9F-C70A-4BC1-ADDD-10FB01B1BB12},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Military Trail Park.pdf,No,No,No,No,No,No,"(25.85772, -80.17982)",825 NE 89TH ST,MIAMI,25.85772,-80.17982,Medium Park
POINT (-80.41063274285904 25.72058466806964),Millers Pond Park,87,3049230310610,97,33175,305-207-1730,NA,13.07,850203.000384,504568.99976,Community Park,Local,MiamiDadePark,County,492302,http://www.miamidade.gov/parks/miller-pond.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,{68C48788-ED2F-40FD-BC99-293C67C8011B},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:44 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Millers Pond Park.pdf,No,No,No,No,No,No,"(25.72058, -80.41063)",13350 SW 47TH ST,MIAMI,25.720580000000002,-80.41063,Very Large Park
POINT (-80.23105269306235 25.83288470064424),Model Cities Trail,88,NA,98,33147,305-694-4889,NA,0,909090.000064,545690.0002,Greenway Park,Area-Wide,MiamiDadePark,County,312206,http://www.miamidade.gov/parks/model-cities.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{B5B73C12-6B45-46F3-B5ED-DD43CE6EADA2},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:45 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Model Cities Trail.pdf,No,No,No,No,No,No,"(25.83288, -80.23105)",NW 79 ST & 19 AVE TO NW 48 TER & NW 24TH AVE,MIAMI,25.83288,-80.23105,Small Park
POINT (-80.43798274489646 25.502064612372862),Modello Park,89,3079040000321,99,33033,305-247-1553,NA,10,841535.00033,425110.000544,Community Park,Local,MiamiDadePark,County,790404,http://www.miamidade.gov/parks/modello.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,{A9BBB159-3520-4FB4-9497-CF0CAEDB6C21},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:45 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Modello Park.pdf,No,No,No,No,No,No,"(25.50206, -80.43798)",28450 SW 152ND AVE,MIAMI,25.50206,-80.43798,Large Park
POINT (-80.4473727483231 25.49865461107721),Modello Wayside Park,90,3079050000510,100,33033,305-233-3150,NA,2.74,838443.00061,423855.999771,Neighborhood Park,Local,MiamiDadePark,County,790502,http://www.miamidade.gov/parks/modello-wayside.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{5D96C8D6-AA31-43A3-8038-FF70D821069A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:45 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Modello Wayside Park.pdf,No,No,No,No,No,No,"(25.49865, -80.44737)",28850 S DIXIE HWY,MIAMI,25.49865,-80.44737,Medium Park
POINT (-80.42527274155458 25.513714615808812),Naranja Lakes Park,91,3069340000010,101,33032,305-255-2399,NA,1.48,845707.99986,429361.99959,Neighborhood Park,Local,MiamiDadePark,County,693401,http://www.miamidade.gov/parks/naranja-lakes.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{4F57AE44-31C6-4D70-BBA5-74569EFDC55A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Naranja Lakes Park.pdf,No,No,No,No,No,No,"(25.51371, -80.42527)",14410 SW 272ND ST,MIAMI,25.51371,-80.42527,Medium Park
POINT (-80.42099273994295 25.52073461761618),Naranja Park,92,3069340000010,102,33032,305-258-1945,NA,10,847111.000006,431919.000377,Community Park,Local,MiamiDadePark,County,693402,http://www.miamidade.gov/parks/naranja.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,{F47EDF81-47FC-406F-BA07-EB9A30177303},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Naranja Park.pdf,No,No,No,No,No,No,"(25.52073, -80.42099)",14150 SW 264TH ST,MIAMI,25.52073,-80.42099,Large Park
POINT (-80.50436276287303 25.438574595480883),Navy Wells Pineland Preserve,93,3078270000360,103,33034,305-257-0933,NA,251.17,819725.999658,401946.999626,Natural Area Preserve,Area-Wide,MiamiDadePark,County,782600,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{6A4F468D-5710-441C-9211-59D4595DA581},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Navy Wells Pineland Preserve.pdf,No,No,No,No,No,No,"(25.43857, -80.50436)",SW 360TH ST / SW 192ND AVE,MIAMI,25.43857,-80.50436,Very Large Park
POINT (-80.33327271687767 25.591204636737736),Ned Glenn Nature Preserve,94,3060040010042,104,33157,305-257-0933,NA,0,875909.000153,457667.000062,Natural Area Preserve,Area-Wide,MiamiDadePark,County,600404,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{4491E5B2-964B-4843-9FFE-85195D333002},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Ned Glenn Nature Preserve.pdf,No,No,No,No,No,No,"(25.5912, -80.33327)",SW 87TH AVE / SW 188TH ST,CUTLER BAY,25.5912,-80.33327,Small Park
POINT (-80.40520273958026 25.65072465104795),Nixon Smiley Pineland Preserve,95,3059140000220,105,33186,305-257-0933,NA,62.67,852104.00052,479185.000661,Natural Area Preserve,Area-Wide,MiamiDadePark,County,591401,http://www.miamidade.gov/parks/nixon-smiley.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{5510DFC4-421A-4488-ACEC-4648347FB404},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Nixon Smiley Pineland Preserve.pdf,No,No,No,No,No,No,"(25.65072, -80.4052)",13200 SW 124TH ST,MIAMI,25.65072,-80.4052,Very Large Park
POINT (-80.3305327250054 25.934434724365225),Norman & Jean Reach Park,96,3020100000013,106,33015,305-823-2414,NA,5,876180.000267,582421.00023,Community Park,Local,MiamiDadePark,County,201001,http://www.miamidade.gov/parks/norman-reach.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,{400A48BA-1207-4F88-8653-D6B641E03CE5},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:46 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Norman & Jean Reach Park.pdf,No,No,No,No,No,No,"(25.93443, -80.33053)",7895 NW 176TH ST,MIAMI,25.93443,-80.33053,Medium Park
POINT (-80.31771272116033 25.948514728095304),Area 262,97,3020020000010,107,33015,305-622-2594,NA,47.85,880365.306529,587560.903,Maintenance Area,NA,MiamiDadePark,County,201101,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{9C6AA7ED-D071-448C-A947-D44D8FC00C9D},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 262.pdf,No,No,No,No,No,No,"(25.94851, -80.31771)",FPL NORTH AREA OF EASEMENT ADJ TO CCM SOUTH PK,MIAMI,25.94851,-80.31771,Very Large Park
POINT (-80.32033272146685 25.94037472542415),Area 1176,98,3020110010180,108,33015,305-662-2594,NA,34.82,879520.161238,584598.62579,Maintenance Area,NA,MiamiDadePark,County,201103,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{5E3BD14E-C59B-4F57-A5A1-56660B5C22E9},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:40 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Area 1176.pdf,No,No,No,No,No,No,"(25.94037, -80.32033)",FPL SOUTH AREA OF EASEMENT ADJ. TO CCM SOUTH PARK,MIAMI,25.94037,-80.32033,Very Large Park
POINT (-80.43137274340654 25.50496461329869),Royal Colonial Park,99,3079040000010,109,33033,305-233-3150,NA,25.4,843711.000245,426170.999406,Community Park,Local,MiamiDadePark,County,790403,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,{C9DE81CC-E8B2-4B4D-A223-F0C771797733},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Royal Colonial Park.pdf,No,No,No,No,No,No,"(25.50496, -80.43137)",14850 SW 280TH ST,MIAMI,25.50496,-80.43137,Very Large Park
POINT (-80.40568274177592 25.724164668867385),Royale Green Park,100,3049230030780,110,33175,305-207-1730,NA,3.33,851827.00009,505875.999117,Neighborhood Park,Local,MiamiDadePark,County,492301,http://www.miamidade.gov/parks/royale-green.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{DCF3D48A-CFFF-4611-9BCE-D8B03113BE96},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Royale Green Park.pdf,No,No,No,No,No,No,"(25.72416, -80.40568)",13000 SW 45TH LN,MIAMI,25.72416,-80.40568,Medium Park
POINT (-80.37973273176947 25.66820465526177),Sabal Chase Park,101,3050070000090,111,33176,305-380-6917,NA,12.32,860465.000201,485576.000347,Neighborhood Park,Local,MiamiDadePark,County,500701,http://www.miamidade.gov/parks/sabal-chase.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{91654F25-0108-4D7C-9DE0-741C19AD8193},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Sabal Chase Park.pdf,No,No,No,No,No,No,"(25.6682, -80.37973)",10940 SW 113TH PL,MIAMI,25.6682,-80.37973,Large Park
POINT (-80.26786270243986 25.757714681277324),San Jacinto Park,102,3041080310460,112,33134,305-666-5883,NA,0.92,897134.000354,518298.00019,Mini Park,Local,MiamiDadePark,County,410801,http://www.miamidade.gov/parks/san-jacinto.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{CAFB1E25-E850-4CA1-9609-6270B75BC21F},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/San Jacinto Park.pdf,No,No,No,No,No,No,"(25.75771, -80.26786)",4430 SW 15TH TER,MIAMI,25.75771,-80.26786,Small Park
POINT (-80.45098275315816 25.665654652837407),Sandpiper Park,103,3059080060112,113,33196,305-386-0227,NA,5,837001.999883,484547.999122,Neighborhood Park,Local,MiamiDadePark,County,590801,http://www.miamidade.gov/parks/sandpiper.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,{09917D2D-58E6-4289-827A-8C8E1FE5CE41},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Sandpiper Park.pdf,No,No,No,No,No,No,"(25.66565, -80.45098)",11100 SW 157TH AVE,MIAMI,25.66565,-80.45098,Medium Park
POINT (-80.28770270695533 25.745264676812482),Schenley Park,104,3040130000020,114,33134,305-666-5886,NA,2,890628.000571,513738.000453,Neighborhood Park,Local,MiamiDadePark,County,401301,http://www.miamidade.gov/parks/schenley.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{6FFCA1B1-4982-43B0-990F-D7F5FE4206A0},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Schenley Park.pdf,No,No,No,No,No,No,"(25.74526, -80.2877)",2750 SW 57TH AVE,MIAMI,25.74526,-80.2877,Medium Park
POINT (-80.45461274910154 25.488834608068252),Seminole Wayside Park,105,3079080250810,115,33033,305-233-3150,NA,28.73,836069.99978,420278.999379,Special Activity Park,Area-Wide,MiamiDadePark,County,790801,http://www.miamidade.gov/parks/seminole-wayside.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{AF2084FD-1378-44CC-98B1-5B625E289205},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Seminole Wayside Park.pdf,No,No,No,No,No,No,"(25.48883, -80.45461)",29901 S DIXIE HWY,MIAMI,25.48883,-80.45461,Very Large Park
POINT (-80.41902274171139 25.60089463747772),Serena Lakes Park,106,3059340020800,116,33177,305-232-1049,NA,5,847632.99995,461057.00017,Neighborhood Park,Local,MiamiDadePark,County,593401,http://www.miamidade.gov/parks/serena-lakes.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{1032D04B-3E7E-44BE-AB64-71DD706E29F1},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:47 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Serena Lakes Park.pdf,No,No,No,No,No,No,"(25.60089, -80.41902)",13965 SW 180TH ST,MIAMI,25.60089,-80.41902,Medium Park
POINT (-80.41381274303222 25.679124657970725),Calusa Club Estates Park,107,3059020051090,117,33186,305-380-6917,NA,6.57,849223.000047,489494.000385,Neighborhood Park,Local,MiamiDadePark,County,590200,http://www.miamidade.gov/parks/calusa.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,{630628E2-A03F-4E58-99A6-302AD90E0E0C},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Calusa Club Estates Park.pdf,No,No,No,No,No,No,"(25.67912, -80.41381)",13464 SW 96TH ST,MIAMI,25.67912,-80.41381,Large Park
POINT (-80.41912274306715 25.658334653178933),Camp Matecumbe,108,3059100000150,118,33186,305-596-9324,NA,21.46,847508.999866,481930.99976,Special Activity Park,Area-Wide,MiamiDadePark,County,591001,http://www.miamidade.gov/parks/camp-matecumbe.asp,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{069679B7-63FA-4D12-BB88-58A65D08DCE4},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Camp Matecumbe.pdf,No,No,No,No,No,No,"(25.65833, -80.41912)",13841 SW 120TH ST,MIAMI,25.65833,-80.41912,Very Large Park
POINT (-80.4696827551539 25.52398461688534),Camp Owaissa Bauer,109,3069300000330,119,33031,305-247-6016,NA,92.92,831046.99933,433033.000118,Special Activity Park,Area-Wide,MiamiDadePark,County,693001,http://www.miamidade.gov/parks/owaissa-bauer-camp.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,{0178C82E-6A06-416C-96D5-B706F16EB65A},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Camp Owaissa Bauer.pdf,No,No,No,No,No,No,"(25.52398, -80.46968)",17001 SW 264TH ST,MIAMI,25.52398,-80.46968,Very Large Park
POINT (-80.44236274786383 25.52971461906496),Camp Redlands,110,3069280000024,120,33032,305-247-6016,NA,10,840047.999697,435151.999817,Special Activity Park,Area-Wide,MiamiDadePark,County,692801,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{E4F1AD28-4A28-43B3-861E-ED8759A841A3},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Camp Redlands.pdf,No,No,No,No,No,No,"(25.52971, -80.44236)",15431 SW 256TH ST,MIAMI,25.52971,-80.44236,Large Park
POINT (-80.3843327312516 25.579964632410714),Caribbean Park,111,3069120000030,121,33177,305-255-2399,NA,5.23,859100.000306,453498.99987,Neighborhood Park,Local,MiamiDadePark,County,691201,http://www.miamidade.gov/parks/caribbean.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{905CCBA9-CCF7-4484-A06F-3BF57666A9BB},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Caribbean Park.pdf,No,No,No,No,No,No,"(25.57996, -80.38433)",11900 SW 200TH ST,MIAMI,25.57996,-80.38433,Large Park
POINT (-80.44964274972357 25.559224626424353),Castellow Hammock Preserve,112,3069170000540,122,33170,305-242-7688,NA,65,837604.00032,445869.00036,Natural Area Preserve,Area-Wide,MiamiDadePark,County,691701,http://www.miamidade.gov/parks/castello-hammock.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,{C6D5F00D-2D9E-4512-8332-F1AB344E78C1},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Castellow Hammock Preserve.pdf,No,No,No,No,No,No,"(25.55922, -80.44964)",22301 SW 162ND AVE,MIAMI,25.55922,-80.44964,Very Large Park
POINT (-80.28661270466432 25.643914651317793),Chapman Field Park,113,351300000010,123,33158,305-665-3837,NA,566,891183.999787,476902.99998,Metropolitan Park,Area-Wide,MiamiDadePark,County,511901,http://www.miamidade.gov/parks/chapman.asp,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,{A0182738-C769-4DEF-BA00-5C483A74A916},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Chapman Field Park.pdf,No,No,No,No,No,No,"(25.64391, -80.28661)",13601 DEERING BAY DRIVE,CORAL GABLES,25.64391,-80.28661,Very Large Park
POINT (-80.30611270942119 25.62052464593644),Charles Deering Estate,114,3350250020010,124,33157,305-235-1668,NA,10.57,884806.999745,468367.000316,Special Activity Park,Area-Wide,MiamiDadePark,County,502501,http://www.miamidade.gov/parks/parks/deering.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,{EF74291F-C7E4-477B-8786-EBB9EF46B6DC},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Charles Deering Estate.pdf,No,No,No,No,No,No,"(25.62052, -80.30611)",16701 SW 72ND AVE,PALMETTO BAY,25.62052,-80.30611,Large Park
POINT (-80.44436274982587 25.61252463962134),Chuck Pezoldt Park,115,3059280000090,125,33187,305-232-1049,NA,40,839261.9993,465247.999664,Community Park,Local,MiamiDadePark,County,592801,http://www.miamidade.gov/parks/chuck-pezoldt.asp,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{776F9D60-8471-45A5-B4F7-568E5237BFFB},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Chuck Pezoldt Park.pdf,No,No,No,No,No,No,"(25.61252, -80.44436)",16555 SW 157TH AVE,MIAMI,25.61252,-80.44436,Very Large Park
POINT (-80.5042827625071 25.41209458735865),Cinco de Mayo Park,116,3088020000100,126,33034,305-242-7930,NA,0,819787.99986,392324.000499,Community Park,Local,MiamiDadePark,County,880201,http://www.miamidade.gov/parks/cinco-de-mayo.asp,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,{50E1AE8A-7DA2-4EAB-BC46-3146A9D56628},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Cinco de Mayo Park.pdf,No,No,No,No,No,No,"(25.41209, -80.50428)",19351 SW 384TH ST,MIAMI,25.41209,-80.50428,Small Park
POINT (-80.23779269514691 25.826574699329917),Claire Rosichan Park,117,3031150280331,127,33142,305-694-4889,NA,0.38,906886.000863,543383.99989,Mini Park,Local,MiamiDadePark,County,311501,http://www.miamidade.gov/parks/claire-rosichan.asp,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,{E3E9206C-C2B8-44A6-9FFB-2AA615B80BF2},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:41 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Claire Rosichan Park.pdf,No,No,No,No,No,No,"(25.82657, -80.23779)",2450 NW 57TH ST,MIAMI,25.82657,-80.23779,Small Park
POINT (-80.4175127446857 25.691784661116937),Kendale Lakes SP Tax Dist Tract A3a,118,3049340011190,128,33183,305-386-5239,NA,0.46,847984.999899,494092.000047,Mini Park,Local,MiamiDadePark,County,493404,http://www.miamidade.gov/parks/,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,{1EFCAC28-C16D-468D-89F3-91D1E62F627B},MiamiDadePark,03/24/2014 06:00:30 PM,PROSO,10/28/2016 05:54:43 PM,http://gisweb.miamidade.gov/parks305/images/parkplans/plans/Kendale Lakes SP Tax Dist Tract A3a.pdf,No,No,No,No,No,No,"(25.69178, -80.41751)",SW 137TH AVE & KENDALE LAKES BLVD,MIAMI,25.69178,-80.41751,Small Park
